NAME,filtername,num,count,,filtername,num,count
CS_Empty,FFP-Vis_Orange,22,10610,,Empty_VIS610,18,9137
Empty_CN,FFP-Vis_Blue,24,3368,,Empty_OI,17,5178
Empty_Empty,Near-IR_FFP-IR,41,2521,,Empty_Red,12,5165
Empty_Na,FFP-Vis_Green,23,1587,,Empty_UV375,13,4731
Empty_NH2,FFP-Vis_Red,28,1196,,Empty_CN,14,1253
Empty_OI,FFP-UV_Near-UV,16,1136,,Green_Empty,21,963
Empty_Red,FFP-Vis_Hydra,27,1072,,Empty_Na,16,853
Empty_UV375,Fe2O3_FFP-IR,61,858,,Empty_NH2,15,830
Empty_VIS610,Ortho_FFP-IR,51,757,,OH_Empty,61,797
Fe2O3_FFP-IR,IR_FFP-IR,71,737,,Empty_Empty,11,760
FFP-UV_Far-UV,FFP-UV_Far-UV,15,717,,NH_Empty,81,662
FFP-UV_Near-UV,NFP-Vis_Orange,32,544,,CS_Empty,41,426
FFP-Vis_Blue,Neutral_Orange,82,228,,UV295_Empty,51,250
FFP-Vis_FFP-IR,Neutral_Blue,84,93,,UV245_Empty,31,242
FFP-Vis_Green,Neutral_Red,88,91,,OH-WAC_Empty,61,90
FFP-Vis_Hydra,Neutral_Green,83,51,,,,
FFP-Vis_Near-UV,Neutral_Hydra,87,16,,,,
FFP-Vis_Orange,FFP-Vis_FFP-IR,21,1,,,,
FFP-Vis_Red,FFP-Vis_Near-UV,26,1,,,,
Green_Empty,Neutral_Near-UV,86,1,,,,
IR_FFP-IR,NFP-Vis_Blue,34,1,,,,
Near-IR_FFP-IR,NFP-Vis_Far-UV,35,1,,,,
Neutral_Blue,NFP-Vis_Green,33,1,,,,
Neutral_Green,NFP-Vis_Hydra,37,1,,,,
Neutral_Hydra,NFP-Vis_Near-UV,36,1,,,,
Neutral_Near-UV,NFP-Vis_Red,38,1,,,,
Neutral_Orange,,,,,,,
Neutral_Red,,,,,,,
NFP-Vis_Blue,,,,,,,
NFP-Vis_Far-UV,,,,,,,
NFP-Vis_Green,,,,,,,
NFP-Vis_Hydra,,,,,,,
NFP-Vis_Near-UV,,,,,,,
NFP-Vis_Orange,,,,,,,
NFP-Vis_Red,,,,,,,
NH_Empty,,,,,,,
OH_Empty,,,,,,,
OH-WAC_Empty,,,,,,,
Ortho_FFP-IR,,,,,,,
UV245_Empty,,,,,,,
UV295_Empty,,,,,,,
